Code,Site,Pair,Fenceence/UnfnFence,Transect #,Segment,SqMSampled,TickCount,All_BL_Ticks,BL_Adults,BL_Nymphs,BL_Larva,All_Dg_Ticks,Dg_Adults,Dg_Nymphs,Dg_Larva,All_ALH_Ticks,ALH_Adults,ALH_Nymphs,ALH_Larva,Collectors,Iders,Temp,RH,DampDry,CloudCover,notes
22,MRG,2,Body Trailsideicks,,,,2,1,0,1,0,1,1,0,0,0,0,0,0,,,,,,,
120a,MRG,1,UnfnFence,0,a,9.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Rachel/Jean-Luc,,68,87%,Damp,100%,
120b,MRG,1,UnfnFence,0,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120c,MRG,1,UnfnFence,0,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120d,MRG,1,UnfnFence,0,d,8.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120e,MRG,1,UnfnFence,0,e,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
120f,MRG,1,UnfnFence,0,f,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121a,MRG,1,UnfnFence,1,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Cliff/Lanier,,,,,,
121b,MRG,1,UnfnFence,1,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121c,MRG,1,UnfnFence,1,c,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
121d,MRG,1,UnfnFence,1,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121e,MRG,1,UnfnFence,1,e,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
121f,MRG,1,UnfnFence,1,f,10.00,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
122a,MRG,1,UnfnFence,2,a,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Rachel/Jean-Luc,,,,,,
122b,MRG,1,UnfnFence,2,b,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122c,MRG,1,UnfnFence,2,c,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
122d,MRG,1,UnfnFence,2,d,10.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
