Date,Site,Transect,Segment,Species,Life_Stage,Count
2023-04-10,Mianus River Gorge,MRG-1-Fen-3,MRG-1-Fen-3-F,Ixodes scapularis (Blacklegged),Adult,4
2023-04-12,Mianus River Gorge,MRG-1-Unf-4,MRG-1-Unf-4-E,Dermacentmaus variabilis (Dog Tick),Nymph,4
2023-04-16,Mianus River Gorge,MRG-1-Unf-2,MRG-1-Unf-2-D,Ixodes scapularis (Blacklegged),Adult,15
2023-04-26,Mianus River Gorge,MRG-2-Unf-2,MRG-2-Unf-2-B,Dermacentmaus variabilis (Dog Tick),Adult,5
2023-04-27,Mianus River Gorge,MRG-2-Fen-0,MRG-2-Fen-0-B,Ixodes scapularis (Blacklegged),Nymph,18
2023-05-07,Mianus River Gorge,MRG-1-Fen-3,MRG-1-Fen-3-B,Dermacentmaus variabilis (Dog Tick),Nymph,3
2023-05-07,Mianus River Gorge,MRG-2-Fen-1,MRG-2-Fen-1-C,Ixodes scapularis (Blacklegged),Adult,5
2023-05-24,Mianus River Gorge,MRG-1-Unf-3,MRG-1-Unf-3-F,Ixodes scapularis (Blacklegged),Nymph,6
2023-05-24,Mianus River Gorge,MRG-2-Fen-2,MRG-2-Fen-2-C,Ixodes scapularis (Blacklegged),Nymph,15
2023-05-24,Mianus River Gorge,MRG-2-Unf-0,MRG-2-Unf-0-F,Dermacentmaus variabilis (Dog Tick),Nymph,3
2023-05-29,Mianus River Gorge,MRG-2-Unf-0,MRG-2-Unf-0-A,Ixodes scapularis (Blacklegged),Nymph,6
2023-06-15,Mianus River Gorge,MRG-1-Unf-2,MRG-1-Unf-2-A,Ixodes scapularis (Blacklegged),Nymph,2
2023-06-17,Mianus River Gorge,MRG-1-Unf-4,MRG-1-Unf-4-B,Ixodes scapularis (Blacklegged),Nymph,4
2023-06-21,Mianus River Gorge,MRG-1-Unf-3,MRG-1-Unf-3-D,Ixodes scapularis (Blacklegged),Nymph,5
2023-06-23,Mianus River Gorge,MRG-2-Unf-4,MRG-2-Unf-4-B,Ixodes scapularis (Blacklegged),Adult,3
2023-07-06,Mianus River Gorge,MRG-2-Unf-2,MRG-2-Unf-2-B,Dermacentmaus variabilis (Dog Tick),Nymph,3
2023-07-11,Mianus River Gorge,MRG-1-Fen-4,MRG-1-Fen-4-A,Ixodes scapularis (Blacklegged),Nymph,5
2023-07-16,Mianus River Gorge,MRG-1-Fen-1,MRG-1-Fen-1-B,Dermacentmaus variabilis (Dog Tick),Nymph,7
2023-07-25,Mianus River Gorge,MRG-2-Fen-3,MRG-2-Fen-3-G,Ixodes scapularis (Blacklegged),Nymph,9
2023-08-01,Mianus River Gorge,MRG-2-Unf-1,MRG-2-Unf-1-C,Ixodes scapularis (Blacklegged),Nymph,9
2023-08-14,Mianus River Gorge,MRG-2-Unf-3,MRG-2-Unf-3-H,Dermacentmaus variabilis (Dog Tick),Nymph,6
2023-08-24,Mianus River Gorge,MRG-1-Unf-0,MRG-1-Unf-0-E,Ixodes scapularis (Blacklegged),Adult,6
2023-08-27,Mianus River Gorge,MRG-2-Unf-1,MRG-2-Unf-1-G,Ixodes scapularis (Blacklegged),Nymph,8
2023-08-31,Mohonk Preserve,Cedar Drive Loop,Cedar Drive Loop,Amblyomma americanum (Lone Star),Nymph,5
2023-09-06,Mianus River Gorge,MRG-2-Fen-2,MRG-2-Fen-2-A,Amblyomma americanum (Lone Star),Nymph,6
2023-09-12,Mohonk Preserve,Canaan Rd,Canaan Rd,Ixodes scapularis (Blacklegged),Nymph,29
