Date,Species,SiteName,SegmCode,Site,Pair,Treatm,Transect,Segment,Adults,Nimphs,Total
7/24/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-A,MRG,1,Unf,0,A,1,0,1
9/19/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-B,MRG,1,Unf,0,B,0,0,0
9/7/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-C,MRG,1,Unf,0,C,0,0,0
7/4/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-D,MRG,1,Unf,0,D,3,1,4
7/16/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-E,MRG,1,Unf,0,E,1,3,4
7/14/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-0-F,MRG,1,Unf,0,F,1,1,2
8/6/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-E,MRG,1,Unf,1,E,2,1,3
7/11/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-D,MRG,1,Unf,1,D,1,2,3
7/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-A,MRG,1,Unf,1,A,3,0,3
8/14/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-C,MRG,1,Unf,1,C,0,1,1
7/23/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-B,MRG,1,Unf,1,B,2,0,2
8/28/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-1-F,MRG,1,Unf,1,F,1,1,2
9/13/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-B,MRG,1,Unf,2,B,1,0,1
8/19/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-C,MRG,1,Unf,2,C,0,0,0
7/12/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-F,MRG,1,Unf,2,F,0,1,1
9/6/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-A,MRG,1,Unf,2,A,0,1,1
8/24/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-D,MRG,1,Unf,2,D,0,0,0
6/29/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-2-E,MRG,1,Unf,2,E,1,0,1
8/28/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-D,MRG,1,Unf,3,D,0,0,0
7/27/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-A,MRG,1,Unf,3,A,0,0,0
7/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-E,MRG,1,Unf,3,E,1,1,2
6/27/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-F,MRG,1,Unf,3,F,1,1,2
8/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-B,MRG,1,Unf,3,B,0,0,0
8/4/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-3-C,MRG,1,Unf,3,C,1,2,3
9/2/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-F,MRG,1,Fen,0,F,0,1,1
9/8/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-A,MRG,1,Fen,0,A,0,1,1
7/12/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-B,MRG,1,Fen,0,B,2,1,3
7/18/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-C,MRG,1,Fen,0,C,1,1,2
8/10/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-D,MRG,1,Fen,0,D,1,1,2
9/10/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-0-E,MRG,1,Fen,0,E,0,1,1
7/18/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-E,MRG,1,Fen,1,E,1,1,2
9/8/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-F,MRG,1,Fen,1,F,1,0,1
9/2/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-A,MRG,1,Fen,2,A,2,0,2
6/25/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-B,MRG,1,Fen,2,B,0,0,0
8/15/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-C,MRG,1,Fen,2,C,0,0,0
8/12/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-D,MRG,1,Fen,2,D,1,0,1
8/13/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-E,MRG,1,Fen,2,E,1,0,1
7/13/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-2-F,MRG,1,Fen,2,F,0,0,0
8/19/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-A,MRG,1,Fen,1,A,0,0,0
9/2/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-B,MRG,1,Fen,1,B,1,1,2
7/18/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-C,MRG,1,Fen,1,C,1,0,1
6/23/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-1-D,MRG,1,Fen,1,D,2,0,2
7/6/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Fen-3-B,MRG,1,Fen,3,B,0,0,0
9/16/25,Amblyomma americanum,Mianus River Gorge,MRG-1-Unf-4-B,MRG,1,Unf,4,B,1,1,2
