Species,Common Name,SiteName,SegmCode,Site_location,Pair,Treatm,Transect,Segment,Adults,Nymphs,Larva,Total
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Body Ticks--,MRG1,2,Body Ticks,,,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Body Ticks--,MRG1,2,Body Ticks,,,1,0,0,1
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Body Ticks--,MRG1,2,Body Ticks,,,0,1,0,1
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG1,1,Unf,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG1,1,Fen,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG1,2,Fen,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG1,2,Unf,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-0-A,MRG1,3,Trailside,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG2,1,Unf,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG2,1,Fen,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG2,2,Unf,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG2,2,Fen,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG1,1,Unf,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG1,1,Fen,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG1,2,Fen,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG1,2,Unf,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-0-A,MRG1,3,Trailside,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG2,1,Unf,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG2,1,Fen,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG2,2,Unf,0,A,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG2,2,Fen,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG1,1,Unf,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG1,1,Fen,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG1,2,Fen,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG1,2,Unf,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Trailside-0-A,MRG1,3,Trailside,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG2,1,Unf,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG2,1,Fen,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Unf-0-A,MRG2,2,Unf,0,A,0,0,0,0
Ixodes scapularis,Blacklegged Tick,Mianus River Gorge,MRG-1-Fen-0-A,MRG2,2,Fen,0,A,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG1,1,Unf,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG1,1,Fen,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG1,2,Fen,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG1,2,Unf,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Trailside-0-B,MRG1,3,Trailside,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG2,1,Unf,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG2,1,Fen,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG2,2,Unf,0,B,0,0,0,0
Amblyomma americanum,Lone Star Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG2,2,Fen,0,B,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG1,1,Unf,0,B,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG1,1,Fen,0,B,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Fen-0-B,MRG1,2,Fen,0,B,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Unf-0-B,MRG1,2,Unf,0,B,0,0,0,0
Dermacentor variabilis,Dog Tick,Mianus River Gorge,MRG-1-Trailside-0-B,MRG1,3,Trailside,0,B,0,0,0,0
